"Step","cou_cyl_s_NB_12_NF_3_seed_07 - neg_log_likel_test","cou_cyl_s_NB_12_NF_3_seed_07 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_3_seed_07 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_3_seed_07 - neg_log_likel_test","cou_cyl_m_NC_8_NF_3_seed_07 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_3_seed_07 - neg_log_likel_test__MAX","cou_s_NB_12_NF_3_seed_07 - neg_log_likel_test","cou_s_NB_12_NF_3_seed_07 - neg_log_likel_test__MIN","cou_s_NB_12_NF_3_seed_07 - neg_log_likel_test__MAX","cou_m_NC_8_NF_3_seed_07 - neg_log_likel_test","cou_m_NC_8_NF_3_seed_07 - neg_log_likel_test__MIN","cou_m_NC_8_NF_3_seed_07 - neg_log_likel_test__MAX","cou_cyl_s_NB_12_NF_3_seed_24 - neg_log_likel_test","cou_cyl_s_NB_12_NF_3_seed_24 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_3_seed_24 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_3_seed_24 - neg_log_likel_test","cou_cyl_m_NC_8_NF_3_seed_24 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_3_seed_24 - neg_log_likel_test__MAX","cou_s_NB_12_NF_3_seed_24 - neg_log_likel_test","cou_s_NB_12_NF_3_seed_24 - neg_log_likel_test__MIN","cou_s_NB_12_NF_3_seed_24 - neg_log_likel_test__MAX","cou_m_NC_8_NF_3_seed_24 - neg_log_likel_test","cou_m_NC_8_NF_3_seed_24 - neg_log_likel_test__MIN","cou_m_NC_8_NF_3_seed_24 - neg_log_likel_test__MAX","cou_cyl_s_NB_12_NF_3_seed_42 - neg_log_likel_test","cou_cyl_s_NB_12_NF_3_seed_42 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_3_seed_42 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_3_seed_42 - neg_log_likel_test","cou_cyl_m_NC_8_NF_3_seed_42 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_3_seed_42 - neg_log_likel_test__MAX"
"0","-8.890437126159668","-8.890437126159668","-8.890437126159668","-8.890515327453613","-8.890515327453613","-8.890515327453613","-8.89040756225586","-8.89040756225586","-8.89040756225586","-8.890488624572754","-8.890488624572754","-8.890488624572754","-8.890477180480957","-8.890477180480957","-8.890477180480957","-8.89063549041748","-8.89063549041748","-8.89063549041748","-8.890470504760742","-8.890470504760742","-8.890470504760742","-8.890435218811035","-8.890435218811035","-8.890435218811035","-8.890560150146484","-8.890560150146484","-8.890560150146484","-8.890506744384766","-8.890506744384766","-8.890506744384766"
"1","-9.322864532470703","-9.322864532470703","-9.322864532470703","-9.326272964477539","-9.326272964477539","-9.326272964477539","-9.14330005645752","-9.14330005645752","-9.14330005645752","-9.250179290771484","-9.250179290771484","-9.250179290771484","-9.292129516601562","-9.292129516601562","-9.292129516601562","-9.290352821350098","-9.290352821350098","-9.290352821350098","-9.115642547607422","-9.115642547607422","-9.115642547607422","-9.210780143737793","-9.210780143737793","-9.210780143737793","-9.332817077636719","-9.332817077636719","-9.332817077636719","-9.368371963500977","-9.368371963500977","-9.368371963500977"
"2","-9.340520858764648","-9.340520858764648","-9.340520858764648","-9.341289520263672","-9.341289520263672","-9.341289520263672","-9.19037914276123","-9.19037914276123","-9.19037914276123","-9.316389083862305","-9.316389083862305","-9.316389083862305","-9.322489738464355","-9.322489738464355","-9.322489738464355","-9.325364112854004","-9.325364112854004","-9.325364112854004","-9.178510665893555","-9.178510665893555","-9.178510665893555","-9.312992095947266","-9.312992095947266","-9.312992095947266","-9.37820816040039","-9.37820816040039","-9.37820816040039","-9.397600173950195","-9.397600173950195","-9.397600173950195"
"3","-9.342387199401855","-9.342387199401855","-9.342387199401855","-9.34865665435791","-9.34865665435791","-9.34865665435791","-9.227542877197266","-9.227542877197266","-9.227542877197266","-9.331583023071289","-9.331583023071289","-9.331583023071289","-9.329489707946777","-9.329489707946777","-9.329489707946777","-9.336441993713379","-9.336441993713379","-9.336441993713379","-9.244006156921387","-9.244006156921387","-9.244006156921387","-9.337384223937988","-9.337384223937988","-9.337384223937988","-9.390373229980469","-9.390373229980469","-9.390373229980469","-9.409126281738281","-9.409126281738281","-9.409126281738281"
"4","-9.344769477844238","-9.344769477844238","-9.344769477844238","-9.353215217590332","-9.353215217590332","-9.353215217590332","-9.259478569030762","-9.259478569030762","-9.259478569030762","-9.349464416503906","-9.349464416503906","-9.349464416503906","-9.340453147888184","-9.340453147888184","-9.340453147888184","-9.34398365020752","-9.34398365020752","-9.34398365020752","-9.276262283325195","-9.276262283325195","-9.276262283325195","-9.357495307922363","-9.357495307922363","-9.357495307922363","-9.399230003356934","-9.399230003356934","-9.399230003356934","-9.422856330871582","-9.422856330871582","-9.422856330871582"
"5","-9.351962089538574","-9.351962089538574","-9.351962089538574","-9.351642608642578","-9.351642608642578","-9.351642608642578","-9.280226707458496","-9.280226707458496","-9.280226707458496","-9.354897499084473","-9.354897499084473","-9.354897499084473","-9.35091495513916","-9.35091495513916","-9.35091495513916","-9.345120429992676","-9.345120429992676","-9.345120429992676","-9.293038368225098","-9.293038368225098","-9.293038368225098","-9.337854385375977","-9.337854385375977","-9.337854385375977","-9.406580924987793","-9.406580924987793","-9.406580924987793","-9.431015968322754","-9.431015968322754","-9.431015968322754"
"6","-9.357391357421875","-9.357391357421875","-9.357391357421875","-9.35361099243164","-9.35361099243164","-9.35361099243164","-9.301909446716309","-9.301909446716309","-9.301909446716309","-9.341044425964355","-9.341044425964355","-9.341044425964355","-9.354085922241211","-9.354085922241211","-9.354085922241211","-9.353676795959473","-9.353676795959473","-9.353676795959473","-9.304534912109375","-9.304534912109375","-9.304534912109375","-9.372574806213379","-9.372574806213379","-9.372574806213379","-9.413135528564453","-9.413135528564453","-9.413135528564453","-9.426652908325195","-9.426652908325195","-9.426652908325195"
"7","-9.358802795410156","-9.358802795410156","-9.358802795410156","-9.36391544342041","-9.36391544342041","-9.36391544342041","-9.301093101501465","-9.301093101501465","-9.301093101501465","-9.358113288879395","-9.358113288879395","-9.358113288879395","-9.361822128295898","-9.361822128295898","-9.361822128295898","-9.364445686340332","-9.364445686340332","-9.364445686340332","-9.319717407226562","-9.319717407226562","-9.319717407226562","-9.385790824890137","-9.385790824890137","-9.385790824890137","-9.420083045959473","-9.420083045959473","-9.420083045959473","-9.4392728805542","-9.4392728805542","-9.4392728805542"
"8","-9.354652404785156","-9.354652404785156","-9.354652404785156","-9.36072826385498","-9.36072826385498","-9.36072826385498","-9.31704330444336","-9.31704330444336","-9.31704330444336","-9.371427536010742","-9.371427536010742","-9.371427536010742","-9.371297836303711","-9.371297836303711","-9.371297836303711","-9.377500534057617","-9.377500534057617","-9.377500534057617","-9.32320499420166","-9.32320499420166","-9.32320499420166","-9.390007972717285","-9.390007972717285","-9.390007972717285","-9.41804313659668","-9.41804313659668","-9.41804313659668","-9.43218994140625","-9.43218994140625","-9.43218994140625"
"9","-9.36324691772461","-9.36324691772461","-9.36324691772461","-9.364890098571777","-9.364890098571777","-9.364890098571777","-9.301034927368164","-9.301034927368164","-9.301034927368164","-9.380125999450684","-9.380125999450684","-9.380125999450684","-9.386758804321289","-9.386758804321289","-9.386758804321289","-9.390628814697266","-9.390628814697266","-9.390628814697266","-9.3356351852417","-9.3356351852417","-9.3356351852417","-9.40848159790039","-9.40848159790039","-9.40848159790039","-9.4236421585083","-9.4236421585083","-9.4236421585083","-9.443952560424805","-9.443952560424805","-9.443952560424805"
