"Step","cou_cyl_s_NB_12_NF_4 - KL_test","cou_cyl_s_NB_12_NF_4 - KL_test__MIN","cou_cyl_s_NB_12_NF_4 - KL_test__MAX","cou_cyl_m_NC_8_NF_4 - KL_test","cou_cyl_m_NC_8_NF_4 - KL_test__MIN","cou_cyl_m_NC_8_NF_4 - KL_test__MAX","cou_s_NB_12_NF_4 - KL_test","cou_s_NB_12_NF_4 - KL_test__MIN","cou_s_NB_12_NF_4 - KL_test__MAX","cou_m_NC_8_NF_4 - KL_test","cou_m_NC_8_NF_4 - KL_test__MIN","cou_m_NC_8_NF_4 - KL_test__MAX"
"0","0.449676513671875","0.449676513671875","0.449676513671875","0.44997406005859375","0.44997406005859375","0.44997406005859375","0.44979095458984375","0.44979095458984375","0.44979095458984375","0.4497871398925781","0.4497871398925781","0.4497871398925781"
"1","0.12215042114257812","0.12215042114257812","0.12215042114257812","0.11162185668945312","0.11162185668945312","0.11162185668945312","0.24123001098632812","0.24123001098632812","0.24123001098632812","0.165618896484375","0.165618896484375","0.165618896484375"
"2","0.10058975219726562","0.10058975219726562","0.10058975219726562","0.0925750732421875","0.0925750732421875","0.0925750732421875","0.20733261108398438","0.20733261108398438","0.20733261108398438","0.1428375244140625","0.1428375244140625","0.1428375244140625"
"3","0.09761810302734375","0.09761810302734375","0.09761810302734375","0.09172439575195312","0.09172439575195312","0.09172439575195312","0.20175552368164062","0.20175552368164062","0.20175552368164062","0.13520050048828125","0.13520050048828125","0.13520050048828125"
"4","0.0932159423828125","0.0932159423828125","0.0932159423828125","0.085174560546875","0.085174560546875","0.085174560546875","0.18788909912109375","0.18788909912109375","0.18788909912109375","0.12111282348632812","0.12111282348632812","0.12111282348632812"
"5","0.0947265625","0.0947265625","0.0947265625","0.0839080810546875","0.0839080810546875","0.0839080810546875","0.17393112182617188","0.17393112182617188","0.17393112182617188","0.11004257202148438","0.11004257202148438","0.11004257202148438"
"6","0.08633041381835938","0.08633041381835938","0.08633041381835938","0.08101272583007812","0.08101272583007812","0.08101272583007812","0.1605224609375","0.1605224609375","0.1605224609375","0.108917236328125","0.108917236328125","0.108917236328125"
"7","0.08975601196289062","0.08975601196289062","0.08975601196289062","0.08179092407226562","0.08179092407226562","0.08179092407226562","0.15254974365234375","0.15254974365234375","0.15254974365234375","0.10332107543945312","0.10332107543945312","0.10332107543945312"
"8","0.08295059204101562","0.08295059204101562","0.08295059204101562","0.07843399047851562","0.07843399047851562","0.07843399047851562","0.1491241455078125","0.1491241455078125","0.1491241455078125","0.10107803344726562","0.10107803344726562","0.10107803344726562"
"9","0.07956695556640625","0.07956695556640625","0.07956695556640625","0.0738983154296875","0.0738983154296875","0.0738983154296875","0.13014984130859375","0.13014984130859375","0.13014984130859375","0.09130096435546875","0.09130096435546875","0.09130096435546875"
