"Step","cou_cyl_s_NB_12_NF_3 - KL_test","cou_cyl_s_NB_12_NF_3 - KL_test__MIN","cou_cyl_s_NB_12_NF_3 - KL_test__MAX","cou_cyl_m_NC_8_NF_3 - KL_test","cou_cyl_m_NC_8_NF_3 - KL_test__MIN","cou_cyl_m_NC_8_NF_3 - KL_test__MAX","cou_s_NB_12_NF_3 - KL_test","cou_s_NB_12_NF_3 - KL_test__MIN","cou_s_NB_12_NF_3 - KL_test__MAX","cou_m_NC_8_NF_3 - KL_test","cou_m_NC_8_NF_3 - KL_test__MIN","cou_m_NC_8_NF_3 - KL_test__MAX"
"0","0.6985263824462891","0.6985263824462891","0.6985263824462891","0.6985797882080078","0.6985797882080078","0.6985797882080078","0.6985998153686523","0.6985998153686523","0.6985998153686523","0.6986179351806641","0.6986179351806641","0.6986179351806641"
"1","0.2562694549560547","0.2562694549560547","0.2562694549560547","0.22071456909179688","0.22071456909179688","0.22071456909179688","0.4449605941772461","0.4449605941772461","0.4449605941772461","0.29355716705322266","0.29355716705322266","0.29355716705322266"
"2","0.2108783721923828","0.2108783721923828","0.2108783721923828","0.19148635864257812","0.19148635864257812","0.19148635864257812","0.37382030487060547","0.37382030487060547","0.37382030487060547","0.2254009246826172","0.2254009246826172","0.2254009246826172"
"3","0.1987133026123047","0.1987133026123047","0.1987133026123047","0.1799602508544922","0.1799602508544922","0.1799602508544922","0.3322601318359375","0.3322601318359375","0.3322601318359375","0.20072460174560547","0.20072460174560547","0.20072460174560547"
"4","0.18985652923583984","0.18985652923583984","0.18985652923583984","0.1662302017211914","0.1662302017211914","0.1662302017211914","0.2945375442504883","0.2945375442504883","0.2945375442504883","0.2161569595336914","0.2161569595336914","0.2161569595336914"
"5","0.18250560760498047","0.18250560760498047","0.18250560760498047","0.15807056427001953","0.15807056427001953","0.15807056427001953","0.2701997756958008","0.2701997756958008","0.2701997756958008","0.17737293243408203","0.17737293243408203","0.17737293243408203"
"6","0.1759510040283203","0.1759510040283203","0.1759510040283203","0.16243362426757812","0.16243362426757812","0.16243362426757812","0.25107574462890625","0.25107574462890625","0.25107574462890625","0.16095256805419922","0.16095256805419922","0.16095256805419922"
"7","0.16900348663330078","0.16900348663330078","0.16900348663330078","0.14981365203857422","0.14981365203857422","0.14981365203857422","0.24631118774414062","0.24631118774414062","0.24631118774414062","0.1661367416381836","0.1661367416381836","0.1661367416381836"
"8","0.17104339599609375","0.17104339599609375","0.17104339599609375","0.15689659118652344","0.15689659118652344","0.15689659118652344","0.23171138763427734","0.23171138763427734","0.23171138763427734","0.15610504150390625","0.15610504150390625","0.15610504150390625"
"9","0.16544437408447266","0.16544437408447266","0.16544437408447266","0.14513397216796875","0.14513397216796875","0.14513397216796875","0.22922992706298828","0.22922992706298828","0.22922992706298828","0.15991783142089844","0.15991783142089844","0.15991783142089844"
"10","0.15850162506103516","0.15850162506103516","0.15850162506103516","0.1526622772216797","0.1526622772216797","0.1526622772216797","0.22088146209716797","0.22088146209716797","0.22088146209716797","0.14728641510009766","0.14728641510009766","0.14728641510009766"
"11","0.1574115753173828","0.1574115753173828","0.1574115753173828","0.14365577697753906","0.14365577697753906","0.14365577697753906","0.23369598388671875","0.23369598388671875","0.23369598388671875","0.14590835571289062","0.14590835571289062","0.14590835571289062"
"12","0.14984416961669922","0.14984416961669922","0.14984416961669922","0.1363821029663086","0.1363821029663086","0.1363821029663086","0.22493743896484375","0.22493743896484375","0.22493743896484375","0.147979736328125","0.147979736328125","0.147979736328125"
"13","0.15386199951171875","0.15386199951171875","0.15386199951171875","0.13234615325927734","0.13234615325927734","0.13234615325927734","0.22118282318115234","0.22118282318115234","0.22118282318115234","0.14862346649169922","0.14862346649169922","0.14862346649169922"
"14","0.14533138275146484","0.14533138275146484","0.14533138275146484","0.13922977447509766","0.13922977447509766","0.13922977447509766","0.21962356567382812","0.21962356567382812","0.21962356567382812","0.1385049819946289","0.1385049819946289","0.1385049819946289"
"15","0.13652420043945312","0.13652420043945312","0.13652420043945312","0.12755393981933594","0.12755393981933594","0.12755393981933594","0.21497821807861328","0.21497821807861328","0.21497821807861328","0.1342487335205078","0.1342487335205078","0.1342487335205078"
"16","0.135040283203125","0.135040283203125","0.135040283203125","0.125946044921875","0.125946044921875","0.125946044921875","0.21271324157714844","0.21271324157714844","0.21271324157714844","0.1359567642211914","0.1359567642211914","0.1359567642211914"
"17","0.13486576080322266","0.13486576080322266","0.13486576080322266","0.13237762451171875","0.13237762451171875","0.13237762451171875","0.2066059112548828","0.2066059112548828","0.2066059112548828","0.13513660430908203","0.13513660430908203","0.13513660430908203"
"18","0.13371944427490234","0.13371944427490234","0.13371944427490234","0.12823963165283203","0.12823963165283203","0.12823963165283203","0.19571590423583984","0.19571590423583984","0.19571590423583984","0.1382894515991211","0.1382894515991211","0.1382894515991211"
"19","0.12528038024902344","0.12528038024902344","0.12528038024902344","0.1295166015625","0.1295166015625","0.1295166015625","0.21057796478271484","0.21057796478271484","0.21057796478271484","0.13055133819580078","0.13055133819580078","0.13055133819580078"
"20","0.13056659698486328","0.13056659698486328","0.13056659698486328","0.12149620056152344","0.12149620056152344","0.12149620056152344","0.19568920135498047","0.19568920135498047","0.19568920135498047","0.13475894927978516","0.13475894927978516","0.13475894927978516"
"21","0.12736034393310547","0.12736034393310547","0.12736034393310547","0.121917724609375","0.121917724609375","0.121917724609375","0.20159435272216797","0.20159435272216797","0.20159435272216797","0.13010597229003906","0.13010597229003906","0.13010597229003906"
"22","0.12456417083740234","0.12456417083740234","0.12456417083740234","0.11886215209960938","0.11886215209960938","0.11886215209960938","0.19647884368896484","0.19647884368896484","0.19647884368896484","0.13302993774414062","0.13302993774414062","0.13302993774414062"
"23","0.12999725341796875","0.12999725341796875","0.12999725341796875","0.122833251953125","0.122833251953125","0.122833251953125","0.22209835052490234","0.22209835052490234","0.22209835052490234","0.12508010864257812","0.12508010864257812","0.12508010864257812"
"24","0.12007522583007812","0.12007522583007812","0.12007522583007812","0.11867904663085938","0.11867904663085938","0.11867904663085938","0.18855857849121094","0.18855857849121094","0.18855857849121094","0.12109088897705078","0.12109088897705078","0.12109088897705078"
"25","0.12285804748535156","0.12285804748535156","0.12285804748535156","0.11290645599365234","0.11290645599365234","0.11290645599365234","0.19578266143798828","0.19578266143798828","0.19578266143798828","0.13273334503173828","0.13273334503173828","0.13273334503173828"
"26","0.11817550659179688","0.11817550659179688","0.11817550659179688","0.11534786224365234","0.11534786224365234","0.11534786224365234","0.18817806243896484","0.18817806243896484","0.18817806243896484","0.1274280548095703","0.1274280548095703","0.1274280548095703"
"27","0.11474800109863281","0.11474800109863281","0.11474800109863281","0.11514568328857422","0.11514568328857422","0.11514568328857422","0.18796730041503906","0.18796730041503906","0.18796730041503906","0.12699604034423828","0.12699604034423828","0.12699604034423828"
"28","0.10845947265625","0.10845947265625","0.10845947265625","0.1086263656616211","0.1086263656616211","0.1086263656616211","0.17805194854736328","0.17805194854736328","0.17805194854736328","0.1263580322265625","0.1263580322265625","0.1263580322265625"
"29","0.1044626235961914","0.1044626235961914","0.1044626235961914","0.11084842681884766","0.11084842681884766","0.11084842681884766","0.1772756576538086","0.1772756576538086","0.1772756576538086","0.12555980682373047","0.12555980682373047","0.12555980682373047"
"30","0.11479949951171875","0.11479949951171875","0.11479949951171875","0.10476398468017578","0.10476398468017578","0.10476398468017578","0.19992351531982422","0.19992351531982422","0.19992351531982422","0.1188507080078125","0.1188507080078125","0.1188507080078125"
"31","0.11269569396972656","0.11269569396972656","0.11269569396972656","0.10014820098876953","0.10014820098876953","0.10014820098876953","0.165252685546875","0.165252685546875","0.165252685546875","0.11913871765136719","0.11913871765136719","0.11913871765136719"
"32","0.10782432556152344","0.10782432556152344","0.10782432556152344","0.10104084014892578","0.10104084014892578","0.10104084014892578","0.16683673858642578","0.16683673858642578","0.16683673858642578","0.1185464859008789","0.1185464859008789","0.1185464859008789"
"33","0.10606765747070312","0.10606765747070312","0.10606765747070312","0.10238075256347656","0.10238075256347656","0.10238075256347656","0.1881551742553711","0.1881551742553711","0.1881551742553711","0.1194143295288086","0.1194143295288086","0.1194143295288086"
"34","0.1072683334350586","0.1072683334350586","0.1072683334350586","0.10092544555664062","0.10092544555664062","0.10092544555664062","0.17673397064208984","0.17673397064208984","0.17673397064208984","0.1148519515991211","0.1148519515991211","0.1148519515991211"
"35","0.10650444030761719","0.10650444030761719","0.10650444030761719","0.1017465591430664","0.1017465591430664","0.1017465591430664","0.16495800018310547","0.16495800018310547","0.16495800018310547","0.12360095977783203","0.12360095977783203","0.12360095977783203"
